SECTION;AUTO/CV;CATEGORY;FOCUS;NEWS LINK;DATE;ADDITIONAL INFORMATION
Customer;Automotive;Strategy;BYD;BYD, Covestro agree collaboration on advanced materials;14.07.2026;
Customer;Automotive;Strategy;Mercedes-Benz;Mercedes-Benz expands Hungarian plant with €1bn investment;14.07.2026;
Customer;Automotive;Strategy;Dongfeng;Dongfeng eyes Canada EV entry via reduced tariff quota;14.07.2026;
Competitor&Partnership;CV;Railway;Borcad;https://www.linkedin.com/posts/borcad-borcadlife-share-7482407704494247936-6SF_/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;13.07.2026;
Customer;Automotive;Q2 results;Stellantis;Stellantis Reports Q2 2026 shipments up 10% - Just Auto;13.07.2026;
Customer;Automotive;Strategy;VW;Volkswagen board rejects restructuring proposal – report;13.07.2026;
Customer;CV;Truck;MAN;MAN increases unit sales by 8 per cent in the first half of 2026 – electric vehicles grow even more strongly;13.07.2026;
Customer;CV;Truck;Sany;Sany electric heavy trucks break export record - Chinadaily.com.cn;13.07.2026;
Customer;Automotive;Sales loss;GAC;GAC Group Forecasts H1 2026 Loss of RMB 4.06–4.57 Billion-Internet Info Agency;13.07.2026;
Customer;Automotive;Sales loss;Seres;Huawei EV partner Seres estimates net loss of 1.5b yuan for first half;13.07.2026;
News&Trends;Automotive;Electrification;EV Sales;New EV Sales Growth Forecast Globally in 2026;13.07.2026;
News&Trends;CV;Truck;EPA ;EPA proposes cost-saving revision to 2027 truck emission rule - TT;13.07.2026;
Competitor&Partnership;Automotive;Seating;Adient;https://www.linkedin.com/posts/adients-india-tech-center-has-developed-share-7478779954390908928-Cslj/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;06.07.2026;
Customer;CV;Construction;Hitachi ;Hitachi Tests Remote Construction Equipment | Power Systems Research;06.07.2026;
News&Trends;Automotive/CV;Market;Germany;German Market Continues To Struggle | Power Systems Research;06.07.2026;
News&Trends;Automotive;Industrial Accelerator Act;ACEA;ACEA publishes position on the Industrial Accelerator Act;06.07.2026;
Customer;CV;Construction;Takeuchi;Takeuchi launches new TL11R3 compact track loader | Industrial Vehicle Technology International;03.07.2026;
Competitor&Partnership;Automotive;Concept van;Yanfeng;Yanfeng unveils production-ready XiM27 smart cabin concept van;01.07.2026;https://www.automotiveinteriorsworld.com/news/concepts/yanfeng-reveals-xim27-smart-cabin-concept-with-reconfigurable-layout-and-ai-adaptive-seating.html
Customer;Automotive;China built for Europe;Stellantis;Stellantis plans China-built Jeep for Europe – report;01.07.2026;
Customer;CV;Agriculture;Yanmar;Iseki and Yanmar Partner to Develop Compact Tractors for Europe - Maquinac;30.06.2026;
Competitor&Partnership;Automotive;Seating;Toyota Boshoku;https://www.linkedin.com/posts/toyotaboshoku-egiegoefzlsblxw-lexuses-ugcPost-7471086228788899840-94x2/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;29.06.2026;
Customer;Automotive;Strategy;Porsche;Porsche plans Cayenne return to Leipzig as staff face pay cuts | Euronews;29.06.2026;
Customer;Automotive;Cabin sanitiser;Hyundai ;Hyundai unveils new ‘Plasma Care UVC’ cabin sanitiser - Just Auto;29.06.2026;
Customer;Automotive;Job cuts;VW;VW weighs up to 100,000 job cuts, four plant closures in biggest overhaul yet, sources say | Reuters;29.06.2026;
Customer;Automotive;New EV platform;GM;General Motors to prepare new EV platform - electrive.com;29.06.2026;
Customer;Automotive;Brazil investment;GM;GM adds $675 million to Brazil investment plan | Reuters;29.06.2026;
Customer;Automotive;BEVs in China;BMW;BMW prepares to launch new generation of BEVs in China - Just Auto;29.06.2026;
Customer;Automotive ;Exit US market;Polestar;Polestar strengthens its focus on Europe following decision under the U.S. Connected Vehicle Rule | Polestar;26.06.2026;Polestar to leave U.S. market after Connected Vehicle Rule denies access - MarkLines Automotive Industry Portal
Customer;Automotive;Strategy;VW;Key step towards streamlining investment portfolio: Volkswagen Group enters into exclusive arrangement with Bain Capital for sale of majority stake in Everllence | Volkswagen Group;26.06.2026;
Customer;Automotive;Sustainability;BMW;BMW Group extends holistic sustainability approach to new BMW X5;25.06.2026;BMW reduces lifecycle carbon emissions across new X5 models - MarkLines Automotive Industry Portal
Customer;Automotive;New model-Peak;Skoda;Interior sketches reveal the cabin of the all-new Škoda Peaq | Automotive Interiors World;25.06.2026;
Competitor&Partnership;CV;Bus;Lazzerini;https://www.linkedin.com/posts/ricerca-sviluppo-lazzerini-share-7465337865678491649-XSyk/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;24.06.2026;
Competitor&Partnership;Automotive;JLR circular concept;Forvia;FORVIA showcases circular materials and advanced Interiors process know-how in JLR’s circular concept car | FORVIA;24.06.2026;
Competitor&Partnership;CV;Bus;Inova;https://www.linkedin.com/posts/innovationforcomfort-seatingsolutions-bus-ugcPost-7475465089257476097-tnxL/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;24.06.2026;
Customer;Automotive;Strategy;BYD;BYD targets overtaking Toyota as world’s biggest carmaker ‘in 5 years’ | CarExpert NZ;24.06.2026;
Customer;CV;Construction;Lovol;Lovol says smart factories cut production cycle by 30% - Construction Briefing;24.06.2026;
Customer;CV;Truck;Scania;Scania CEO: Europe must learn from China on e-trucks | trans.info;24.06.2026;
Customer;CV;Construction;Messersì;Messersì showcases new wheeled loader, mini skids, dumper and wheel barrow - International Rental News;24.06.2026;
Customer;CV;Agriculture;John Deere;Deere Announces New Generation of 6R Tractor Series, Updates 6M Series;24.06.2026;
Customer;Automotive;Strategy;BYD;BYD puts Turkey plant plans on hold – and seeks alternative in Europe - electrive.com;24.06.2026;
Customer;Automotive;Concept car;JLR;JLR CO-DEVELOPS UNIQUE NEW CIRCULAR CONCEPT VEHICLE WITH SUPPLIERS TO DRIVE DOWN CARBON FOOTPRINT | JLR Media Newsroom;24.06.2026;
News&Trends;Automotive;Car registrations;ACEA;https://www.acea.auto/?mailpoet_router&endpoint=view_in_browser&action=view&data=WzU0NjYxLCIwOGFiNWU2ODliMjMiLDQ4MDQsIjg5eTgxMnFqY3RrNDg4NHM0OGN3b2dzZzg0d29zbzQ4Iiw1NDAxMSwwXQ;24.06.2026;
News&Trends;CV;Material Handling;Forklift market;https://interactanalysis.com/insight/the-forklift-market-isnt-rejecting-automation/?utm_campaign=338533572-Voice%20of%20Market&utm_medium=email&_hsenc=p2ANqtz--zkj_G8Di9f13dDsHeIym6WLdiRy5_1xI85A-nQG4IcCD02_DSjoE-QsSTag19-cle6LMEqorSUpDkpr76i87t8tYVbEwqCBbm4wG5dpW8kSomQG8&_hsmi=139030896&utm_content=139030895&utm_source=hs_email;24.06.2026;
News&Trends;Automotive;May sales;Global;GlobalData Global Light Vehicle Sales Update (May 2026) - MarkLines Automotive Industry Portal;24.06.2026;
News&Trends;Automotive/CV;Economic Outlook;Global;Global Economic Outlook: June 2026 | S&P Global;24.06.2026;
News&Trends;Automotive;Global weakness;China;China domestic market weakness lowers global vehicle forecast | S&P Global;24.06.2026;
News&Trends;Automotive;June production;Global;June 2026 Light Vehicle Production Forecast | LinkedIn;24.06.2026;
News&Trends;CV;Construction;Europe;Press Release – 101st EUROCONSTRUCT Conference - EUROCONSTRUCT;24.06.2026;
News&Trends;CV;Bus;Electrification;More than 20 countries surpass 50% electric city bus sales as e-buses head for 60% of global market by 2030 - Sustainable Bus;24.06.2026;
News&Trends;CV;Agriculture;Modern machines;Modern agricultural machinery helps boost farming efficiency in China's Heilongjiang - People's Daily Online;24.06.2026;
News&Trends;CV;Agriculture;China export;China’s Agricultural Machinery Exports Jump 29% in Q1 2026 - Maquinac;24.06.2026;
News&Trends;CV;Agriculture;Sales;Farmers hit pause on machinery purchases as uncertainty clouds agricultural outlook;24.06.2026;
News&Trends;CV;Truck;China;China sets sales targets for NEV heavy-duty trucks - Just Auto;24.06.2026;
Customer;CV;Construction;Volvo;Volvo CE reaffirms electric push and highlights near-US$1bn Europe investment - Construction Briefing;11.06.2026;
Customer;CV;Construction;XCMG;XCMG secures over $1bn in orders at International Customer Festival - Construction Briefing;11.06.2026;
News&Trends;Automotive;Interior;Sustainability;How Interior Design Can Drive Sustainable Mobility;10.06.2026;
Competitor&Partnership;Automotive;Seating;Lear;Lear Corp is Investing in New Seat Plant in Michigan | Manufacturing Digital;09.06.2026;
Competitor&Partnership;Automotive;Award;Forvia;https://www.linkedin.com/posts/forvia_two-of-our-technologies-have-been-recognized-activity-7463267431453728769-4aia?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;09.06.2026;
Customer;Automotive;Ioniq V for China;Hyundai ;Hyundai Ioniq V spotted in China: 4.9 m fastback EV with frameless doors and 800V system;09.06.2026;
News&Trends;CV;Construction;Magazine ;International Construction Magazine June 2026 - Construction Briefing;09.06.2026;pg 6-7
Customer;Automotive;Launch;Audi;Nuvolari: Super sports car with 1,001 PS | audi.com;08.06.2026;
Customer;Automotive;Autonomous logistic brand;Dongfeng;Dongfeng Automobile to Launch Autonomous Logistics Vehicle Brand | Gasgoo;08.06.2026;
Customer;Cv;Construction;Zoomlion;Zoomlion Expands Latin American Footprint with New Facilities in Argentina, Brazil and Mexico - Maquinac;08.06.2026;
Customer;CV;Construction;JCB;JCB Launched Hydrogen Backhoe Loader - Powertrain International;08.06.2026;
Customer;CV;Construction;Kioti;KIOTI Enters the Mini Excavator Market with MX Series Launch;08.06.2026;
Customer;CV;Construction;Liebherr;Liebherr’s first electric wheel loader debuts - Equipment Journal;08.06.2026;
Customer;CV;Construction;Volvo;Volvo Construction Equipment brings EWR150 Electric to market in Europe;08.06.2026;
Customer;CV;Construction;Kubota;Escorts Kubota Reports Higher Tractor, Equipment Volumes In May | Autocar Professional;08.06.2026;
Customer;Automotive;China-made;Nissan;Nissan unveils all-new China-made Navara and Primera models - Just Auto;08.06.2026;
Customer;Automotive;Spain;MG;MG to build factory in Spain with annual production target of 120,000 vehicles - electrive.com;08.06.2026;MG invests €200m in European production facility | Automotive Powertrain Technology International
News&Trends;Automotive;May sales;Western Europe;Connect;08.06.2026;
News&Trends;Automotive;May sales;Germany;Connect;08.06.2026;
News&Trends;CV;Agriculture;Tariffs;Trump Cuts Tariffs on Ag Equipment to 15% - Farm Policy News;08.06.2026;U.S. to Lower Tariffs on Farm and Construction Equipment - TT
Customer;CV;Truck;MAN;https://www.linkedin.com/posts/stephan-schoenherr_mantruckandbus-mandesign-hspforzheim-ugcPost-7467248908235247617-I9Cy/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;03.06.2026;
Competitor&Partnership;CV;Bus;Lazzerini;https://www.linkedin.com/posts/nme-ugcPost-7460615058491060225-GS8C/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;02.06.2026;
Competitor&Partnership;CV;Railway;Borcad;https://www.linkedin.com/posts/borcad-cz-is-working-on-a-new-project-in-share-7467471131004788737-xYLX/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;02.06.2026;
Customer;CV;Construction;Caterpillar;How Caterpillar Is Evolving Into a Tech-Driven Heavy Equipment Leader;02.06.2026;
Customer;Automotive;Expansion;Xiaomi;https://www.marklines.com/en/news/345247;02.06.2026;
Customer;Automotive;Production plant;SAIC;China’s SAIC Motor to build first EU plant in Spain's Galicia;02.06.2026;
Customer;CV;Railway;Stadler;https://www.linkedin.com/posts/stadler-euro9000-transport-ugcPost-7467559117897785344-p6sD/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;02.06.2026;
News&Trends;Automotive/CV;Investment;China-Serbia;China Commits $1.1B to Serbia AI and Robotics Base | AI Weekly;02.06.2026;
News&Trends;CV;Agriculture;Electrotractor;Elektrotraktor 2026: Diese Modelle kommen jetzt wirklich | Aktuelle Landwirtschafts- und Landtechnik-Nachrichten;02.06.2026;
Customer;CV;Railway;Siemens Mobility;SBB orders Siemens double-deck trains • East of Nile Monorail opens • Stadler trains ordered for Dublin-Belfast line;01.06.2026;
Customer;CV;Agriculture;DIESS E-Agrartechnik;Post | LinkedIn;01.06.2026;
Customer;Automotive;Chinese-linked ownership;Mercedes-Benz;Mercedes-Benz faces sales and production risk in US over Chinese-linked ownership;01.06.2026;
Customer;CV;Truck;Scania;Scania to invest EUR 70 million in EV truck production at Angers plant - MarkLines Automotive Industry Portal;01.06.2026;
News&Trends;CV;Truck/Bus;Sector crisis;Industry and workers call for urgent action to safeguard Europe's commercial vehicle sector - ACEA - European Automobile Manufacturers' Association;01.06.2026;
Customer;CV;Agriculture;Claas;Claas Xerion 12 series receives new updates;28.05.2026;
Customer;CV;Construction;Takeuchi;Takeuchi to showcase expanded 3-Series range at Hillhead 2026 | Industrial Vehicle Technology International;28.05.2026;
News&Trends;Automotive;Registrations;ACEA;"New car registrations: +4.2% in April 2026 year-to-date; battery-electric 19.7% market share";28.05.2026;
News&Trends;Automotive;May sales;US;US light vehicle market forecast to tick up in May - Just Auto;28.05.2026;
Competitor&Partnership;CV;Bus;Lazzerini;https://www.linkedin.com/posts/lazzerini_ricerca-sviluppo-lazzerini-activity-7465337866638819330-bSSb?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;27.05.2026;
Customer;CV;Truck;BYD;BYD ramps up European electric truck ambitions - News - Commercial Motor;27.05.2026;
Customer;CV;Agriculture;FM World;Chinese agricultural machinery giant lands in the heart of Brazilian agribusiness and chooses Sinop, in the north of Mato Grosso, to open its first dealership in the country, targeting cotton, corn, soybean, and sugarcane producers in the region. - CPG Click Oil and Gas;27.05.2026;
Customer;CV;Construction;Sany;SANY Electric Excavator Hits 1,000-Unit Milestone;27.05.2026;
Customer;CV;Material Handling;Hyster;Hyster focuses on electric high-capacity forklift for ports - Port Technology International;27.05.2026;
Customer;CV;Offroad;John Deere;Deere forecasts FY2026 net income of $4.5B-$5B while lifting construction & forestry sales outlook to up ~20%;27.05.2026;
News&Trends;Automotive;China competition;CLEPA;EU-China competitive gap for suppliers is widening – CLEPA - Just Auto;26.05.2026;
Competitor&Partnership;Automotive;3D Glass;IPGlass-Studio HR;Post | LinkedIn;21.05.2026;
Customer;CV;Construction;JLG;JLG reports falls in first quarter - Construction Briefing;21.05.2026;
Customer;Automotive;Product development agreement;Stellantis;Stellantis and JLR sign US product development MoU;21.05.2026;
Customer;Automotive;Expansion-Uzbekistan;VW;VW to launch “large-scale” assembly operation in Uzbekistan;21.05.2026;
Customer;Automotive;Mexico;Audi;Audi Mexico to create 800 jobs at Puebla plant during 2026 - MarkLines Automotive Industry Portal;21.05.2026;
Customer;Automotive;Dongfeng venture;Stellantis;Stellantis, Dongfeng agree €1bn China EV production venture;21.05.2026;
Customer;Automotive;Production decline;Stellantis;FIOM raises alarm over job cuts, lower production and market share decline for Stellantis Italy - MarkLines Automotive Industry Portal;21.05.2026;
Customer;Automotive;Brazil China pressure;VW;VW Brazil flags Chinese pressure on resale values – report;21.05.2026;
Customer;Automotive;Strategy;Stellantis;Stellantis unveils another strategic plan - Just Auto;21.05.2026;
Customer;CV;Truck;Tesla;Tesla Patent Reveals Electromagnetic Suspension Seats - Not a Tesla App;20.05.2026;
Customer;Automotive;Europe plans;Ford;Ready Set Ford. Welcome to Our New Era for Europe;20.05.2026;
Customer;Automotive;Defence production;Mercedes-Benz;Mercedes-Benz CEO tells WSJ carmaker willing to enter defense production | Reuters;20.05.2026;
Customer;Automotive;Affordable cars;Stellantis;Stellantis announces ‘small and affordable E-Car Project’ - Just Auto;20.05.2026;
Customer;Automotive;Type01 ;Jaguar;Jaguar Type 01: Elektro-Luxus-GT mit 1.000 PS ab 2027;20.05.2026;
News&Trends;Automotive;May production;Outlook;https://www.linkedin.com/posts/s-p-global-mobility_the-global-auto-industrys-near-term-outlook-activity-7462551399856234496-nimj?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;20.05.2026;
News&Trends;CV;Aftermarket;Q1 outlook;What does Ritchie Bros Q1 report tell us about used equipment trends - Construction Briefing;20.05.2026;
Customer;Automotive;European manufacturing capacity;BYD;BYD eyes underutilised European automotive manufacturing capacity;19.05.2026;
Customer;Automotive;Second brand;Leapmotor;Leapmotor confirms second brand plans - CnEVPost;19.05.2026;
Competitor&Partnership;CV;Offroad;Cobo;https://www.linkedin.com/posts/michael-mitchell-0a9956221_cobo-full-cab-integration-activity-7460412195835723776-_MH4?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;18.05.2026;
Competitor&Partnership;CV;Railway;Fisa;https://www.linkedin.com/posts/collaboration-design-manufacturing-share-7453080069129977856-LovC?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;18.05.2026;
Customer;CV;Construction;Doosan;Doosan Bobcat reports revenue growth in Q1 2026 | Industrial Vehicle Technology International;18.05.2026;
Customer;CV;Construction;Caterpillar;Caterpillar | Caterpillar Inc. Releases 2025 Annual and Sustainability Reports;18.05.2026;
Customer;CV;Construction;Liebherr;Liebherr compact wheeled excavator duo wins Red Dot Best of the Best award | Industrial Vehicle Technology International;18.05.2026;
News&Trends;CV;Offroad;Chinese OEMs;Why Chinese OEMs are winning in off-highway (and how to compete) - Interact Analysis;18.05.2026;
News&Trends;CV;Construction;US;U.S. and Canadian Sales of Combines Increase in April 2026;18.05.2026;
News&Trends;CV;Offroad;Outlook;Construction Rebounds, Agriculture Struggles as Global Shocks Mount - AEM | Association of Equipment Manufacturers;18.05.2026;
News&Trends;CV;Truck;North America;North America Commercial Vehicle Forecast & Outlook | ACT Research | ACT Research;18.05.2026;
Customer;Automotive;Partnerships;Stellantis;Stellantis and Ford back Chinese partnerships to survive European slump – report;13.05.2026;
News&Trends;CV;Construction;US;https://www.linkedin.com/posts/interact-analysis_whats-happening-in-the-us-construction-machinery-activity-7453393558331465728-y_dG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;13.05.2026;
Competitor&Partnership;Automotive;Seating;Magna;Rethinking the Vehicle Seat as an Adaptive System | LinkedIn;12.05.2026;
Customer;CV;Agriculture;AGCO;AGCO reports Q1 2026 Increased 14.3%;12.05.2026;
News&Trends;CV;Construction;Asia;https://www.linkedin.com/posts/interact-analysis_asia-continues-to-lead-the-way-in-manufacturing-activity-7459905344874586112-fURS?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;12.05.2026;
Customer;CV;Railway;Alstom;Alstom and CAF Present New MI20 Train for Paris RER B Line | Railway-News;11.05.2026;
Customer;Automotive;Job cuts;Porsche;https://www.just-auto.com/news/porsche-to-cut-500-jobs/;11.05.2026;
Customer;CV;Material Handling;Kalmar;Kalmar expands its electric portfolio in the North American;11.05.2026;
News&Trends;CV;Agriculture;Farmer sentiment;Farmer Sentiment Drops in April with Current, Future & Capital Investment Indices All Down;11.05.2026;
News&Trends;Automotive;Exhibition;Beijing Auto Show;2026 Beijing Auto Show: Software takes the wheel;11.05.2026;
News&Trends;CV;Truck;Iran war;Iran war to accelerate China's shift to electric trucks from diesel, China News - AsiaOne;11.05.2026;
News&Trends;CV;Agriculture;China;New technologies, equipment make farming smarter in China - People's Daily Online;11.05.2026;
Customer;CV;Construction;Hyundai ;Hyundai updates articulated dump truck cab | Industrial Vehicle Technology International;08.05.2026;
Customer;CV;Railway;CAF;First quarter 2026 results | CAF;08.05.2026;
Competitor&Partnership;CV;Truck;Aunde;Post | LinkedIn;07.05.2026;
Customer;CV;Material Handling;Jungheinrich;Jungheinrich in first quarter of 2026;07.05.2026;
News&Trends;CV;Off-hihgway;China ;Why Chinese OEMs are winning in off-highway (and how to compete) - Interact Analysis;07.05.2026;
Competitor&Partnership;Automotive;Alternative materials;Toyota Boshoku;https://www.linkedin.com/posts/toyotaboshoku-tcore-milandesignweek2026-ugcPost-7451813918018129921-YBOI?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;06.05.2026;
Competitor&Partnership;Automotive;Q2 results;Adient;Q2FY26 - Earnings Presentation;06.05.2026;
Customer;Automotive;Q1 results;BMW;BMW profit down by a quarter in Q1 - Just Auto;06.05.2026;
News&Trends;CV;Construction;Top50;Yellow Table: The world’s top 50 construction equipment OEMs - Construction Briefing;06.05.2026;
News&Trends;CV;Construction;Magazine ;International Construction Magazine April - May 2026 - Construction Briefing;06.05.2026;Yellow Table+Construction Sales figures
News&Trends;Automotive/CV;Middle East crisis;PMI;Global PMI shows prices rising sharply amid worsening supply chain delays | S&P Global;06.05.2026;
News&Trends;Automotive/CV;EU-Mercosur;Agreement;EU–Mercosur Agreement provisionally applied from 1 May 2026;06.05.2026;
Customer;CV;Agriculture;CNH Machinery;CNH CEO: ‘Passing Through Lowest Period’ of Current Ag Cycle;05.05.2026;
Customer;CV;Agriculture;Mahindra;Mahindra Farm Equipment Business Reports 20% Growth in April 2026 Tractor Sales;05.05.2026;
Customer;CV;Construction;Caterpillar;Caterpillar (CAT) Q1 earnings;05.05.2026;
Customer;Automotive ;April sales;BYD;BYD April NEV sales fall over 26% year-on-year;05.05.2026;
News&Trends;CV;Construction;Italy;Italy’s construction equipment market doubles in under a decade - Construction Briefing;05.05.2026;
News&Trends;CV;Bus;Brazil ;Chinese manufacturers swallowed the entire Latin American electric bus market in just seven years, the fleet jumped from one thousand to over six thousand units, Europe was left with a meager 1.9% share, and now China is advancing with the same strategy on trucks and global cargo. - CPG Click Oil and Gas;05.05.2026;
Competitor&Partnership;Automotive;Q1 results;Lear;288c95f8-2be8-497a-86bf-a57690d0d56c;04.05.2026;
Customer;Automotive;Q1 results;VW;Volkswagen warns cost cuts fall short as profit drops;04.05.2026;
Customer;CV;Truck;Scania;Scania introduces Longline cab for series production;04.05.2026;Connect
Customer;CV;Construction;Doosan;Doosan Q1 Operating Profit Jumps 71.7% on High-End CCL Strength - Seoul Economic Daily;04.05.2026;
News&Trends;CV;Bus;Brazil ;A Drop of Up to 10% on the Horizon | Power Systems Research;04.05.2026;
News&Trends;Automotive;Chinese cars;Europe;Don’t Stop Me Now: Chinese Cars Are Having a Good Time in Europe – Rhodium Group;04.05.2026;
News&Trends;Automotive;Electrification;Sales overview;Electric Vehicle Sales Review Q1-2026 | PwC and Strategy&;04.05.2026;
News&Trends;Automotive;April sales;Outlook;USA - New car sales in 2026 by OEM, model, vehicle type - MarkLines Automotive Industry Portal;04.05.2026;
News&Trends;Automotive;Exhibition;Beijing Auto Show;From electric vehicles to AI: China's next automotive revolution on display in Beijing - April 27, 2026 | Reuters;04.05.2026;
News&Trends;CV;Truck/Bus;Outlook;What to expect for North America Commercial Vehicle Market Trends;04.05.2026;
Competitor&Partnership;CV;Railway;Borcad;https://www.linkedin.com/posts/yesterday-we-attended-the-acri-asociace-podnik%C5%AF-ugcPost-7449880763333959680-D3ID?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;30.04.2026;
Competitor&Partnership;Automotive;Award;Martur;https://www.linkedin.com/posts/marturfompakinternational-sapawards-digitaltransformation-ugcPost-7455509876912447488-P4lO?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;30.04.2026;
Customer;CV;Construction;Hitachi ;Hitachi Construction Machinery Establishes New “WIXIM” Brand for Emerging Markets - Hitachi Construction Machinery;30.04.2026;Post | LinkedIn
Customer;CV;Construction;Volvo;SDLG sale hits Volvo CE Q1 sales, but market remains strong - Construction Briefing;30.04.2026;
Customer;Automotive ;Q1 results;Mercedes-Benz;Mercedes-Benz: finanzielle Resilienz und robuster Free Cash Flow in Q1, starke Nachfrage nach neuen Modellen | Mercedes-Benz Media;30.04.2026;Mercedes-Benz Group EBIT down 16.8% in Q1 2026 - MarkLines Automotive Industry Portal
Customer;CV;Truck;Paccar;PACCAR Achieves Good Financial Performance;30.04.2026;PACCAR revenues down, though profits up in Q1 2026 as industry changes - MarkLines Automotive Industry Portal
Customer;CV;Construction;Hyundai ;Why Hyundai believes this moment will be a turning point in its history - Construction Briefing;30.04.2026;
News&Trends;CV;Agriculture;Europe Outlook;European Ag Manufacturers’ Outlook Remains Largely Negative;30.04.2026;
Customer;CV;Truck;Daimler;Two-lane road to a circular economy: Mercedes-Benz Trucks unveils the reECONIC – a battery-electric vehicle made from recycled materials | Daimler Truck;29.04.2026;Daimler Truck presents electric truck made of recycled materials in Europe - MarkLines Automotive Industry Portal
Customer;Automotive;Production in Stellantis plant;Hongqi;China’s Hongqi in talks to build cars at Stellantis Spain plant – report;29.04.2026;
Customer;Automotive;Expansion Middle East;Li Auto ;Li Auto signs new distribution deals in the Middle East - Just Auto;29.04.2026;
Customer;Automotive;Profit decline;BYD;BYD first-quarter profit falls 55.4%;29.04.2026;
